Wall time,Step,Value
1493414502.8573916,561,0.013731534592807293
1493414503.9024513,562,0.013686836697161198
1493414504.9335103,563,0.013642381876707077
1493414505.97757,564,0.013598171062767506
1493414507.0086288,565,0.01355419959872961
1493414508.0516887,566,0.013510467484593391
1493414509.0807476,567,0.0134669728577137
1493414510.1278074,568,0.01342371292412281
1493414511.1738672,569,0.013380687683820724
1493414512.217927,570,0.013337894342839718
1493414513.2479858,571,0.013295331969857216
1493414514.2920456,572,0.01325299870222807
1493414515.3371053,573,0.013210891745984554
1493414516.3831651,574,0.013169009238481522
1493414517.413224,575,0.013127349317073822
1493414518.458284,576,0.013085911981761456
1493414519.5023434,577,0.013044696301221848
1493414520.5314023,578,0.0130036985501647
1493414521.5774622,579,0.012962917797267437
1493414522.621522,580,0.01292235404253006
1493414523.6675818,581,0.01288200169801712
1493414524.6976407,582,0.012841864489018917
1493414525.7286997,583,0.012801936827600002
1493414526.7727594,584,0.012762218713760376
1493414527.817819,585,0.012722707353532314
1493414528.8628788,586,0.012683402746915817
1493414529.892938,587,0.01264430396258831
1493414530.9689994,588,0.012605409137904644
1493414532.0140593,589,0.012566715478897095
1493414533.060119,590,0.012528222985565662
1493414534.1041787,591,0.012489929795265198
1493414535.1502385,592,0.012451834976673126
1493414536.1792974,593,0.012413936667144299
1493414537.2093563,594,0.012376233004033566
1493414538.2384152,595,0.012338723056018353
1493414539.283475,596,0.01230140496045351
1493414540.3285346,597,0.01226427685469389
1493414541.3595936,598,0.012227339670062065
1493414542.4036534,599,0.012190590612590313
1493414543.4487133,600,0.012154028750956059
1493414544.494773,601,0.012117652222514153
1493414545.5238318,602,0.012081459164619446
1493414546.5688918,603,0.012045450508594513
1493414547.5989506,604,0.012009622529149055
1493414548.6440103,605,0.011973975226283073
1493414549.68907,606,0.011938507668673992
1493414550.73413,607,0.011903217993676662
1493414551.7951906,608,0.011868104338645935
1493414552.8422506,609,0.01183316856622696
1493414553.8703094,610,0.011798405088484287
1493414554.915369,611,0.011763815768063068
1493414555.9614289,612,0.011729398742318153
1493414557.0054886,613,0.011695152148604393
1493414558.0355475,614,0.011661075986921787
1493414559.0806074,615,0.011627168394625187
1493414560.125667,616,0.011593427509069443
1493414561.1867278,617,0.01155985239893198
1493414562.2327876,618,0.011526443064212799
1493414563.2608464,619,0.011493196710944176
1493414564.3059063,620,0.011460114270448685
1493414565.3359652,621,0.011427193880081177
1493414566.3810248,622,0.011394434608519077
1493414567.4260845,623,0.011361834593117237
1493414568.4711444,624,0.011329393833875656
1493414569.5022035,625,0.011297110468149185
1493414570.5462632,626,0.01126498356461525
1493414571.591323,627,0.011233010329306126
1493414572.6363826,628,0.011201192624866962
1493414573.6674416,629,0.01116952858865261
1493414574.7115014,630,0.011138016358017921
1493414575.7425604,631,0.011106655932962894
1493414576.78662,632,0.011075446382164955
1493414577.8316798,633,0.011044383980333805
1493414578.8767395,634,0.011013471521437168
1493414579.9207993,635,0.010982705280184746
1493414580.9528582,636,0.010952087119221687
1493414581.996918,637,0.010921614244580269
1493414583.025977,638,0.010891285724937916
1493414584.0720367,639,0.010861100628972054
1493414585.1170964,640,0.010831056162714958
1493414586.1621563,641,0.010801156051456928
1493414587.191215,642,0.01077139563858509
1493414588.237275,643,0.010741774924099445
1493414589.267334,644,0.010712293907999992
1493414590.3113935,645,0.010682950727641582
1493414591.3564534,646,0.010653744451701641
1493414592.3875122,647,0.010624674148857594
1493414593.4325721,648,0.01059573981910944
1493414594.4756317,649,0.010566938668489456
1493414595.5216916,650,0.010538272559642792
1493414596.5677514,651,0.010509738698601723
1493414597.5988104,652,0.010481336154043674
1493414598.6268692,653,0.010453063994646072
1493414599.671929,654,0.010424923151731491
1493414600.7169888,655,0.01039691362529993
1493414601.7620485,656,0.010369031690061092
1493414602.7921073,657,0.010341277346014977
1493414603.836167,658,0.010313649661839008
1493414604.882227,659,0.010286148637533188
1493414605.9112859,660,0.01025877334177494
1493414606.9563456,661,0.010231521911919117
1493414608.0164063,662,0.010204395279288292
1493414609.063466,663,0.01017739251255989
1493414610.109526,664,0.01015051081776619
1493414611.1375847,665,0.010123751126229763
1493414612.1826446,666,0.010097112506628036
1493414613.2287045,667,0.01007059495896101
1493414614.2737641,668,0.01004419568926096
1493414615.301823,669,0.010017914697527885
1493414616.3478827,670,0.009991751052439213
1493414617.3789418,671,0.009965703822672367
1493414618.4230015,672,0.009939773008227348
1493414619.4690614,673,0.009913957677781582
1493414620.514121,674,0.009888257831335068
1493414621.54318,675,0.009862672537565231
1493414622.5892398,676,0.009837201796472073
1493414623.6332996,677,0.009811840951442719
1493414624.6623583,678,0.009786593727767467
1493414625.7084181,679,0.009761457331478596
1493414626.753478,680,0.009736432693898678
1493414627.7825367,681,0.009711517952382565
1493414628.8285966,682,0.009686713106930256
1493414629.8576555,683,0.009662017226219177
1493414630.9027152,684,0.00963742844760418
1493414631.9327743,685,0.009612946771085262
1493414632.977834,686,0.009588572196662426
1493414634.0238938,687,0.009564303793013096
1493414635.0529528,688,0.009540140628814697
1493414636.0980124,689,0.00951608270406723
1493414637.1440723,690,0.00949212908744812
1493414638.173131,691,0.009468278847634792
1493414639.218191,692,0.009444531053304672
1493414640.2632506,693,0.00942088570445776
1493414641.3083105,694,0.009397342801094055
1493414642.3543704,695,0.009373900480568409
1493414643.39843,696,0.009350558742880821
1493414644.4904926,697,0.009327316656708717
1493414645.5205514,698,0.009304174222052097
1493414646.5656111,699,0.009281129576265812
1493414647.6106708,700,0.009258185513317585
1493414648.6567307,701,0.009235336445271969
1493414649.7007904,702,0.009212585166096687
1493414650.7308495,703,0.009189929813146591
1493414651.7759092,704,0.00916737224906683
1493414652.821969,705,0.009144909679889679
1493414653.8510277,706,0.009122541174292564
1493414654.8960876,707,0.009100265800952911
1493414655.9261465,708,0.00907808542251587
1493414656.9702063,709,0.009055997245013714
1493414658.017266,710,0.009034001268446445
1493414659.0453248,711,0.009012098424136639
1493414660.091385,712,0.008990287780761719
1493414661.1364446,713,0.008968567475676537
1493414662.1825044,714,0.008946937508881092
1493414663.211563,715,0.008925397880375385
1493414664.240622,716,0.008903946727514267
1493414665.285682,717,0.008882584050297737
1493414666.3307416,718,0.008861311711370945
1493414667.3768015,719,0.008840125054121017
1493414668.4058602,720,0.008819027803838253
1493414669.4359193,721,0.008798016235232353
1493414670.480979,722,0.008777089416980743
1493414671.526039,723,0.008756250143051147
1493414672.5710986,724,0.008735495619475842
1493414673.6161582,725,0.008714824914932251
1493414674.6452172,726,0.008694239892065525
1493414675.691277,727,0.008673738688230515
1493414676.7373369,728,0.00865332130342722
1493414677.7653956,729,0.008632986806333065
1493414678.8104553,730,0.008612735196948051
1493414679.8415143,731,0.008592565543949604
1493414680.885574,732,0.008572476916015148
1493414681.9296339,733,0.008552469313144684
1493414682.9766936,734,0.008532541804015636
1493414684.0067527,735,0.008512696251273155
1493414685.0508125,736,0.008492930792272091
1493414686.0958722,737,0.008473243564367294
1493414687.1409318,738,0.00845363549888134
1493414688.1699908,739,0.008434104733169079
1493414689.2010498,740,0.00841465312987566
1493414690.2451096,741,0.00839527789503336
1493414691.2911694,742,0.008375980891287327
1493414692.336229,743,0.008356760255992413
1493414693.382289,744,0.008337615989148617
